month,location_id,displacement_type,origin_country,arrivals,departures,source,notes
2025-07,LOC005,IDP,,1800,250,UN,"Inter-communal violence"
2025-08,LOC005,IDP,,2000,300,UN,"Escalation in Upper Nile"
2025-09,LOC005,IDP,,2100,350,UN,"Clashes reported"
2025-10,LOC005,IDP,,2200,300,UN,"Internal displacement in Upper Nile"
2025-11,LOC005,IDP,,2800,450,UN,"Continued insecurity"
2025-12,LOC005,IDP,,3500,600,UN,"Escalation of clashes"
2026-01,LOC005,IDP,,4200,700,UN,"Severe violence reported"
2026-02,LOC005,IDP,,5200,800,UN,"Displacement rising"
2026-03,LOC005,IDP,,6100,900,UN,"Escalation continues"

2025-07,LOC006,IDP,,1200,200,UN,"Jonglei localized clashes"
2025-08,LOC006,IDP,,1500,220,UN,"Armed activity reported"
2025-09,LOC006,IDP,,1800,260,UN,"Displacement increases"
2025-10,LOC006,IDP,,2100,300,UN,"Escalation"
2025-11,LOC006,IDP,,2600,350,UN,"Conflict spread"
2025-12,LOC006,IDP,,3000,400,UN,"Continued instability"
2026-01,LOC006,IDP,,3800,550,UN,"Severe violence"
2026-02,LOC006,IDP,,4500,700,UN,"Large displacement wave"
2026-03,LOC006,IDP,,5300,900,UN,"Escalation sustained"

2025-07,LOC007,Refugee,South Sudan,600,80,UN,"Arrivals from Upper Nile"
2025-08,LOC007,Refugee,South Sudan,750,90,UN,"Border crossings"
2025-09,LOC007,Refugee,South Sudan,820,110,UN,"Increased arrivals"
2025-10,LOC007,Refugee,South Sudan,900,100,UN,"South Sudanese arrivals"
2025-11,LOC007,Refugee,South Sudan,1100,150,UN,"Increased arrivals from Upper Nile"
2025-12,LOC007,Refugee,South Sudan,1400,200,UN,"Border crossings reported"
2026-01,LOC007,Refugee,South Sudan,1800,250,UN,"New influx"
2026-02,LOC007,Refugee,South Sudan,2300,300,UN,"Escalation in South Sudan"
2026-03,LOC007,Refugee,South Sudan,2900,350,UN,"High influx continues"

2025-09,LOC008,Refugee,South Sudan,500,60,UN,"Overflow arrivals"
2025-10,LOC008,Refugee,South Sudan,650,80,UN,"Secondary camp pressure"
2025-11,LOC008,Refugee,South Sudan,850,100,UN,"Camp expansion"
2025-12,LOC008,Refugee,South Sudan,1100,130,UN,"Capacity strain"
2026-01,LOC008,Refugee,South Sudan,1300,150,UN,"Escalation in South Sudan"
2026-02,LOC008,Refugee,South Sudan,1500,200,UN,"Overflow from Pugnido"
2026-03,LOC008,Refugee,South Sudan,1800,220,UN,"Continued arrivals"

2025-10,LOC001,IDP,,900,150,Government,"Localized unrest"
2025-11,LOC001,IDP,,1100,180,Government,"Security concerns"
2025-12,LOC001,IDP,,1300,200,Government,"Increased tension"
2026-01,LOC001,IDP,,1500,250,Government,"Internal displacement"
2026-02,LOC001,IDP,,1700,300,Government,"Pressure rising"
2026-03,LOC001,IDP,,1900,320,Government,"Ongoing instability"

2025-11,LOC003,Refugee,Ethiopia,400,60,UN,"Movement toward Somalia"
2025-12,LOC003,Refugee,Ethiopia,500,80,UN,"Border movement"
2026-01,LOC003,Refugee,Ethiopia,650,100,UN,"Cross-border movement"

2025-10,LOC004,IDP,,600,100,Government,"Flood displacement"
2025-11,LOC004,IDP,,800,120,Government,"Climate-related movement"
2025-12,LOC004,IDP,,1000,150,Government,"Seasonal impact"